id,name.local,name.en,name.slug,code.id,children_count.locality,geo.lat,geo.lon
JOBAL_ain-albasha,عين الباشا,Ain Albasha,ain-albasha,JOBAL_ain-albasha,15,31.954,35.704
JOBAL_al-ardha,العارضة,Al-Ardha,al-ardha,JOBAL_al-ardha,15,31.954,35.704
JOBAL_alshoneh-alwasta,الشونة الوسطى,Alshoneh Alwasta,alshoneh-alwasta,JOBAL_alshoneh-alwasta,7,31.954,35.704
JOBAL_baqah-camp,مخيم البقعة*,Baq'ah Camp*,baqah-camp,JOBAL_baqah-camp,0,31.954,35.704
JOBAL_dair-alla,دير علا,Dair Alla,dair-alla,JOBAL_dair-alla,8,31.954,35.704
JOBAL_fuhais,الفحيص,Fuhais,fuhais,JOBAL_fuhais,1,31.954,35.704
JOBAL_maddi,معدي,M'addi,maddi,JOBAL_maddi,8,31.954,35.704
JOBAL_mahes,ماحص,Mahes,mahes,JOBAL_mahes,1,31.954,35.704
JOBAL_salt-kubrah,السلط الكبرى,Salt Kubrah,salt-kubrah,JOBAL_salt-kubrah,20,31.954,35.704
JOBAL_swaimeh,سويمة,Swaimeh,swaimeh,JOBAL_swaimeh,1,31.954,35.704
