id,name.local,name.en,name.slug,code.id,children_count.locality,geo.lat,geo.lon
JOIRB_alkfarat,الكفارات,Alkfarat,alkfarat,JOIRB_alkfarat,7,32.475,35.814
JOIRB_alseru,السرو,Alseru,alseru,JOIRB_alseru,5,32.475,35.814
JOIRB_alshoaleh,الشعلة,Alshoaleh,alshoaleh,JOIRB_alshoaleh,3,32.475,35.814
JOIRB_alyarmook-aljadedah,اليرموك الجديدة,Alyarmook Aljadedah,alyarmook-aljadedah,JOIRB_alyarmook-aljadedah,8,32.475,35.814
JOIRB_brkash,برقش,Brkash,brkash,JOIRB_brkash,7,32.475,35.814
JOIRB_dair-abi-said-jadeda,دير أبي سعيد الجديدة,Dair Abi Sa'id Jadeda,dair-abi-said-jadeda,JOIRB_dair-abi-said-jadeda,9,32.475,35.814
JOIRB_garb-irbid,غرب اربد,Garb Irbid,garb-irbid,JOIRB_garb-irbid,10,32.475,35.814
JOIRB_irbid-alkubrah,اربد الكبرى,Irbid Alkubrah,irbid-alkubrah,JOIRB_irbid-alkubrah,22,32.475,35.814
JOIRB_khaled-abn-alwaleed,خالد بن الوليد,Khaled Abn Alwaleed,khaled-abn-alwaleed,JOIRB_khaled-abn-alwaleed,5,32.475,35.814
JOIRB_mazar-jadeda,المزار الجديدة,Mazar Jadeda,mazar-jadeda,JOIRB_mazar-jadeda,12,32.475,35.814
JOIRB_moath-abn-jabal,معاذ بن جبل,Mo'ath Abn Jabal,moath-abn-jabal,JOIRB_moath-abn-jabal,9,32.475,35.814
JOIRB_rabeat-al-koorah,رابية الكورة,Rabeat Al Koorah,rabeat-al-koorah,JOIRB_rabeat-al-koorah,5,32.475,35.814
JOIRB_ramtha-jadeda,الرمثا الجديدة,Ramtha Jadeda,ramtha-jadeda,JOIRB_ramtha-jadeda,2,32.475,35.814
JOIRB_sahel-horan,سهل حوران,Sahel Horan,sahel-horan,JOIRB_sahel-horan,4,32.475,35.814
JOIRB_shahed-azmi-el-mufti-hosoncamp,مخيم الشهيد عزمي المفتي(الحصن)*,Shahed Azmi El-Mufti (Hoson)Camp*,shahed-azmi-el-mufti-hosoncamp,JOIRB_shahed-azmi-el-mufti-hosoncamp,0,32.475,35.814
JOIRB_sharhabeel-abn-hasnah,شرحبيل بن حسنة,Sharhabeel Abn Hasnah,sharhabeel-abn-hasnah,JOIRB_sharhabeel-abn-hasnah,8,32.475,35.814
JOIRB_tabaqat-fahl,طبقة فحل,Tabaqat Fahl,tabaqat-fahl,JOIRB_tabaqat-fahl,6,32.475,35.814
JOIRB_taybeh-jadeda,الطيبة الجديدة,Taybeh  Jadeda,taybeh-jadeda,JOIRB_taybeh-jadeda,7,32.475,35.814
JOIRB_wastiyyah,الوسطية,Wastiyyah,wastiyyah,JOIRB_wastiyyah,7,32.475,35.814
