id,name.local,name.en,name.slug,code.id,children_count.locality,geo.lat,geo.lon
JOMAA_alashari,الأشعري,Alashari,alashari,JOMAA_alashari,0,30.229,36.653
JOMAA_alsharah,الشراه,Alsharah,alsharah,JOMAA_alsharah,0,30.229,36.653
JOMAA_husanieh-aljadedah,الحسينيه الجديدة,Husanieh Aljadedah,husanieh-aljadedah,JOMAA_husanieh-aljadedah,0,30.229,36.653
JOMAA_iel-jadeda,إيل الجديدة,Iel Jadeda,iel-jadeda,JOMAA_iel-jadeda,0,30.229,36.653
JOMAA_iqlem-albatra,إقليم البتراء,Iqlem Albatra,iqlem-albatra,JOMAA_iqlem-albatra,0,30.229,36.653
JOMAA_jafr,الجفر,Jafr,jafr,JOMAA_jafr,0,30.229,36.653
JOMAA_maan,معان,Ma'an,maan,JOMAA_maan,0,30.229,36.653
JOMAA_shobak-aljadedah,الشوبك الجديدة,Shobak Aljadedah,shobak-aljadedah,JOMAA_shobak-aljadedah,0,30.229,36.653
