id,name.local,name.en,name.slug,code.id,children_count.locality,geo.lat,geo.lon
JOKAR_abdulah-bin-ruaha,عبد الله بن رواحه,Abdulah Bin Ruaha,abdulah-bin-ruaha,JOKAR_abdulah-bin-ruaha,6,31.119,35.795
JOKAR_aghwar-janoobiyah,الاغوار الجنوبية,Aghwar Janoobiyah,aghwar-janoobiyah,JOKAR_aghwar-janoobiyah,11,31.119,35.795
JOKAR_ayy,عي,Ayy,ayy,JOKAR_ayy,3,31.119,35.795
JOKAR_karak-alkubrah,الكرك الكبرى,Karak Alkubrah,karak-alkubrah,JOKAR_karak-alkubrah,36,31.119,35.795
JOKAR_muab-aljadedah,مؤاب الجديدة,Mu'ab Aljadedah,muab-aljadedah,JOKAR_muab-aljadedah,12,31.119,35.795
JOKAR_muata-almazar,مؤتة  والمزار,Mu'ata & Almazar,muata-almazar,JOKAR_muata-almazar,0,31.119,35.795
JOKAR_qatraneh,القطرانة,Qatraneh,qatraneh,JOKAR_qatraneh,1,31.119,35.795
JOKAR_shehan,شيحان,Shehan,shehan,JOKAR_shehan,9,31.119,35.795
JOKAR_sultani,السلطاني,Sultani,sultani,JOKAR_sultani,2,31.119,35.795
JOKAR_talal-aljadedah,طلال الجديدة,Talal Aljadedah,talal-aljadedah,JOKAR_talal-aljadedah,7,31.119,35.795
